County,Population,Violent,Murder,Rape,Robbery,Aggrevated assault,Property,Burglary,Vehicle theft,Larceny theft
Sacramento,"1,541,301",438.9,5.1,26.4,132,275.4,"2,350.20",428.9,350.2,"1,571.10"
San Benito,"61,513",239,1.6,35.8,47.1,154.4,767.3,156.1,151.2,460.1
San Bernardino,"2,168,964",563.4,6.8,41,143.1,372.5,"2,186.10",460.1,418.7,"1,307.40"
San Diego,"3,340,312",341.6,2.6,33.1,86.5,219.3,"1,653.50",230.3,289.8,"1,133.40"
San Francisco,"891,021",683.7,4.5,37,356.1,286.1,"5,612.90",525.8,480.8,"4,606.30"
San Joaquin,"765,556",777.5,6.5,39.3,203.8,527.9,"2,796.50",492.6,402.1,"1,901.90"
San Luis Obispo,"278,355",226.3,1.8,34.1,27.7,162.7,"1,839.00",357.5,116.4,"1,365.20"
San Mateo,"774,231",237.3,1.3,41.6,71.3,123.1,"2,101.70",287,196.6,"1,618.10"
Santa Barbara,"450,839",339.1,3.8,46.8,65.4,223.1,"1,620.80",281.5,232,"1,107.30"
Santa Clara,"1,954,833",325.4,2.3,47,93.9,182.2,"2,435.30",349.2,413.5,"1,672.50"
Santa Cruz,"272,501",405.9,2.2,50.3,66.8,286.6,"2,570.60",381.3,303.9,"1,885.50"
Shasta,"177,891",350.2,3.4,35.4,43.3,268.1,"1,356.40",354.1,326.6,675.7
Sierra,"3,210",31.2,0,0,0,31.2,965.7,467.3,0,498.4
Siskiyou,"44,592",405.9,13.5,29.2,20.2,343.1,"1,426.30",361.1,208.6,856.7
Solano,"438,832",481.7,4.8,60.2,150.6,266.2,"2,999.10",849.3,470.6,"1,679.20"
Sonoma,"496,947",405.7,1.8,55.7,48.9,299.2,"1,360.30",247.1,113.9,999.3
Stanislaus,"554,018",524.9,4.5,30.7,130.7,359,"2,576.50",474.4,449.6,"1,652.50"
Sutter,"102,914",309,3.9,31.1,63.2,210.9,"2,377.70",386.7,342,"1,648.90"
Tehama,"64,643",396,4.6,71.2,46.4,273.8,"2,510.70",674.5,392.9,"1,443.30"
Trinity,"13,637",447.3,14.7,73.3,66,293.3,"1,737.90",608.6,234.7,894.6
Tulare,"476,588",355,4.2,40.7,81.6,228.5,"2,229.40",424.9,387.1,"1,417.40"
Tuolumne,"54,532",357.6,3.7,124.7,23.8,205.4,"1,969.50",687.7,185.2,"1,096.60"
Ventura,"846,050",216.3,2.8,27.4,62.3,123.8,"1,493.30",230,145.9,"1,117.40"
Yolo,"220,896",288.4,2.7,39.4,79.7,166.6,"3,007.80",418.7,265.7,"2,323.30"
Yuba,"77,342",421.5,9.1,53,78.9,280.6,"2,384.20",523.6,614.2,"1,246.40"
,,,,,,,,,,
